Jugador,Seleccion,Posicion,Minutos,IVO_P90,Pases_P90,Conducciones_P90,Regates_P90,Tiros_P90,Presion_Pct
Aaron Mooy,Australia,MCD,378,0.34,52.1,36.9,1.2,0.2,18.7
Aaron Ramsey,Wales,MC,257,0.19,38.5,35.0,3.2,0.4,34.5
Abdelhamid Sabiri,Morocco,MC,405,0.14,12.9,10.4,0.2,0.9,28.2
Abdelkarim Hassan Al Haj Fadlalla,Qatar,DFC,275,0.55,51.7,43.2,1.0,2.0,19.4
Abderrazak Hamdallah,Morocco,DC,359,0.11,4.0,3.8,0.3,0.5,44.1
Abdessamad Ezzalzouli,Morocco,EI,303,0.19,4.8,5.6,0.6,0.3,34.2
Abdou Diallo,Senegal,DFC,333,0.34,49.5,35.1,0.0,0.3,10.2
Abdul Fatawu Issahaku,Ghana,ED,98,0.0,0.0,0.9,0.9,0.0,100.0
Abdul Rahman Baba,Ghana,LI,196,0.45,47.3,32.6,2.3,0.0,17.9
Abdulaziz Hatem Mohammed Abdullah,Qatar,MC,267,0.16,30.7,25.3,0.3,0.3,28.6
Abdulelah Al Amri,Saudi Arabia,DFC,294,0.28,30.9,19.9,0.0,0.3,10.8
Abdulelah Saad Hameed Al-Malki,Saudi Arabia,MCD,184,0.22,42.1,27.9,0.0,1.0,17.2
Abdullah Mohammed Madu,Saudi Arabia,DFC,95,0.02,10.4,5.7,0.0,0.0,23.5
Abdulrahman Al-Obood,Saudi Arabia,ED,187,0.06,6.3,7.2,1.0,0.5,45.2
Abolfazl Jalali,Iran,LI,97,0.21,26.9,23.2,1.9,0.0,33.9
Achraf Dari,Morocco,DFC,252,0.18,38.2,28.2,0.0,0.4,2.1
Achraf Hakimi Mouh,Morocco,LD,631,0.52,54.2,40.4,1.1,0.7,20.7
Adrien Rabiot,France,MCD,571,0.32,44.9,34.7,0.5,1.4,18.4
Agustín Canobbio Graviz,Uruguay,MC,95,0.05,6.6,4.7,0.0,0.0,16.7
Ahmad Nourollahi,Iran,MCD,207,0.26,23.9,20.9,1.3,2.2,25.2
Ahmed Alaa Eldin Abdelmotaal,Qatar,DC,95,0.0,1.9,0.9,0.0,0.0,33.3
Ajdin Hrustic,Australia,DC,281,0.08,7.4,8.6,1.3,0.3,50.9
Akram Hassan Afif,Qatar,DC,282,0.73,53.0,45.6,2.2,0.6,29.6
Alan Steven Franco Palma,Ecuador,MCD,125,0.02,7.9,6.5,0.0,0.0,10.0
Alejandro Balde Martínez,Spain,LI,378,0.2,28.3,25.5,0.0,0.2,17.2
Alejandro Darío Gómez,Argentina,MC,105,0.55,49.7,54.9,2.6,1.7,45.7
Aleksandar Mitrović,Serbia,DC,258,0.27,23.4,17.4,0.3,3.5,28.1
Alex Nicolao Telles,Brazil,LI,144,0.15,27.5,16.9,0.0,0.0,4.2
Alex Sandro Lobo Silva,Brazil,LI,288,0.4,52.8,40.9,0.6,0.3,11.2
Alexander Djiku,Ghana,DFC,180,0.04,13.5,9.5,0.5,0.0,6.4
Alexander Hartmann Bah,Denmark,LD,188,0.27,23.9,18.7,1.0,1.0,20.4
Alexis Mac Allister,Argentina,MC,537,0.36,45.4,42.4,1.0,1.2,26.6
Ali Abdi,Tunisia,LI,288,0.31,34.1,20.3,0.9,0.0,20.3
Ali Al Hassan,Saudi Arabia,MCD,50,0.15,14.4,12.6,0.0,1.8,56.2
Ali Albulayhi,Saudi Arabia,DFC,213,0.14,37.6,24.9,0.0,0.0,12.2
Ali Assadalla Thaimn Qambar,Qatar,MC,93,0.18,22.3,17.4,1.0,0.0,23.8
Ali Gholizadeh,Iran,MC,244,0.36,26.9,25.1,3.0,0.4,24.7
Ali Karimi,Iran,MCD,250,0.07,16.2,11.2,0.0,0.0,18.4
Ali Maâloul,Tunisia,LI,96,0.75,57.2,26.2,0.0,0.0,5.6
Alidu Seidu,Ghana,LD,152,0.54,44.4,33.8,3.0,0.6,21.7
Alireza Jahanbakhsh,Iran,MC,152,0.17,8.3,8.9,1.2,1.8,35.3
Alistair Johnston,Canada,LD,275,0.61,61.2,40.3,0.0,0.7,14.4
Almoez Ali Zainalabiddin Abdulla,Qatar,DC,221,0.11,18.7,17.1,1.6,1.2,33.7
Alphonso Davies,Canada,LI,274,0.52,37.4,36.1,7.2,1.3,36.0
Alvaro José Zamora Mata,Costa Rica,ED,94,0.07,4.8,5.7,0.0,0.0,36.4
Amadou Onana,Belgium,MCD,152,0.18,37.3,35.5,0.6,1.2,29.4
Anass Zaroury,Morocco,EI,93,0.23,11.6,7.7,1.0,0.0,19.0
Andreas Christensen,Denmark,DFC,282,0.4,79.8,69.3,0.3,0.6,7.4
Andreas Evald Cornelius,Denmark,DC,238,0.13,12.1,11.3,0.4,1.9,54.4
Andreas Skov Olsen,Denmark,ED,130,0.67,42.9,42.2,0.7,2.8,27.3
Andrej Kramarić,Croatia,ED,462,0.36,33.7,32.3,1.4,1.9,30.9
Andrija Živković,Serbia,LD,203,0.58,43.9,34.6,0.4,0.4,16.8
André Ayew Pelé,Ghana,MCO,178,0.12,18.7,18.2,1.0,1.0,42.9
André Miguel Valente Silva,Portugal,DC,93,0.23,10.6,8.7,1.0,0.0,38.1
André-Frank Zambo Anguissa,Cameroon,MC,262,0.32,46.0,36.1,1.0,0.3,25.5
Angelo Smit Preciado Quiñónez,Ecuador,LD,271,0.59,42.8,26.9,0.3,1.3,14.9
Anis Ben Slimane,Tunisia,MCO,141,0.44,31.3,26.2,0.6,0.6,33.7
Anssumane Fati,Spain,EI,217,0.06,11.6,10.4,0.8,0.0,25.5
Ante Budimir,Croatia,DC,106,0.03,5.1,4.2,0.0,0.8,66.7
Anthony Daniel Contreras Enríquez,Costa Rica,DC,200,0.07,11.2,10.4,0.4,0.0,69.4
Antoine Griezmann,France,MCO,631,0.66,46.1,32.1,1.1,0.9,18.9
Antoine Semenyo,Ghana,DC,188,0.03,1.4,1.9,0.0,0.5,37.5
Antonee Robinson,United States,LI,378,0.59,57.1,44.5,1.7,0.0,14.7
Antonio Rüdiger,Germany,DFC,284,0.5,78.3,61.2,0.0,1.9,10.8
Antony Matheus dos Santos,Brazil,ED,387,0.51,26.3,26.5,3.5,1.4,24.2
António João Pereira Albuquerque Tavares Silva,Portugal,DFC,94,0.21,55.5,43.1,0.0,0.0,4.9
Ao Tanaka,Japan,MCD,262,0.15,23.4,13.7,0.0,0.3,22.9
Ardon Jashari,Switzerland,DC,93,0.02,5.8,3.9,1.0,0.0,27.3
Arkadiusz Milik,Poland,DC,253,0.07,11.7,9.2,0.4,0.4,29.5
Artur Jędrzejczyk,Poland,LI,94,0.02,4.8,2.9,0.0,0.0,0.0
Assim Omer Al Haj Madibo,Qatar,MCD,155,0.2,41.2,29.6,0.0,0.0,24.6
Atiba Hutchinson,Canada,MCD,211,0.28,47.8,34.5,0.4,0.9,21.9
Aurélien Djani Tchouaméni,France,MCD,626,0.45,67.6,56.1,0.4,1.0,14.7
Awer Mabil,Australia,MC,191,0.06,6.6,6.1,0.5,0.0,21.4
Axel Disasi,France,LD,195,0.16,34.6,21.7,0.5,0.5,15.3
Axel Witsel,Belgium,MCD,279,0.25,56.8,43.9,0.0,0.3,15.0
Ayase Ueda,Japan,DC,37,0.19,26.8,34.1,0.0,0.0,68.0
Aymeric Laporte,Spain,DFC,306,0.64,126.2,102.4,0.3,0.3,4.2
Aziz Eraltay Behich,Australia,LI,382,0.41,48.1,34.2,2.4,0.5,19.1
Azzedine Ounahi,Morocco,MC,620,0.36,38.8,36.4,1.7,0.9,31.2
Aïssa Bilal Laïdouni,Tunisia,MCD,249,0.32,43.0,37.2,1.4,0.7,25.4
Badr Banoun,Morocco,DFC,216,0.05,8.8,7.9,0.0,0.4,2.4
Bailey Wright,Australia,DFC,85,0.07,4.2,2.1,0.0,0.0,16.7
Bartosz Bereszyński,Poland,LI,349,0.31,38.7,24.2,1.8,0.0,27.5
Bassam Hisham Al Rawi,Qatar,DFC,94,0.33,54.6,37.3,0.0,0.0,10.4
Ben Davies,Wales,DFC,250,0.4,57.6,37.8,1.1,1.1,17.3
Benjamin Pavard,France,LD,87,0.32,91.0,66.2,1.0,0.0,4.6
Bernardo Mota Veiga de Carvalho e Silva,Portugal,MC,454,0.47,57.9,47.2,1.0,0.2,16.6
Bilal El Khannous,Morocco,MC,50,0.15,43.2,36.0,0.0,0.0,15.9
Borna Barišić,Croatia,LI,119,0.34,50.7,29.5,0.0,0.8,6.5
Borna Sosa,Croatia,LI,438,0.57,56.7,43.6,1.4,0.4,16.1
Boualem Khoukhi,Qatar,DFC,282,0.26,61.9,46.6,0.3,0.0,11.1
Boulaye Dia,Senegal,DC,306,0.26,15.6,16.8,1.8,2.4,44.4
Brandon Aguilera Zamora,Costa Rica,EI,228,0.04,13.8,13.8,1.2,0.0,39.7
Breel-Donald Embolo,Switzerland,DC,315,0.23,18.9,21.4,1.1,1.7,51.7
Brenden Aaronson,United States,MC,382,0.17,11.3,14.1,2.1,0.2,33.9
Brennan Johnson,Wales,MC,270,0.25,6.0,8.3,1.7,1.0,51.0
Bruno Guimarães Rodriguez Moura,Brazil,MCD,192,0.33,25.8,23.0,0.9,2.3,23.4
Bruno Miguel Borges Fernandes,Portugal,ED,379,0.87,54.9,43.7,1.4,1.9,18.4
Bruno Petković,Croatia,DC,542,0.13,13.3,12.6,0.5,0.2,47.5
Bryan Mbeumo,Cameroon,ED,214,0.45,34.1,28.2,2.9,0.8,31.8
Bryan Oviedo,Costa Rica,LI,247,0.23,32.4,21.9,0.0,0.0,18.8
Bryan Ruiz González,Costa Rica,EI,90,0.02,13.0,9.0,1.0,0.0,43.5
Bukayo Saka,England,ED,275,0.7,36.3,36.0,1.6,2.3,38.2
Callum Wilson,England,DC,196,0.14,5.5,6.9,0.5,0.0,32.1
Cameron Carter-Vickers,United States,DFC,96,0.23,51.6,38.4,0.9,0.0,6.2
Carlos Alberto Rodríguez Gómez,Mexico,MC,192,0.12,13.6,14.1,1.4,0.0,33.9
Carlos Armando Gruezo Arboleda,Ecuador,MCD,46,0.12,27.4,23.5,0.0,0.0,15.4
Carlos Henrique Casimiro,Brazil,MCD,404,0.44,57.5,39.2,0.4,2.2,17.9
Carlos Manuel Martínez Castro,Costa Rica,LD,40,0.1,31.5,13.5,0.0,0.0,15.0
Carlos Soler Barragán,Spain,MC,219,0.39,34.5,28.4,0.8,2.1,8.8
Carlos Uriel Antuna Romero,Mexico,ED,284,0.14,5.7,6.3,0.3,0.6,31.7
